;Insgesamt;1 Person;2 Personen;3 Personen;4 Personen;5 Personen;6 und mehr Personen;;;
Unter 40;1.740;1.236;323;111;55;15;0;;;
40-59;15.886;7.509;5.533;1.541;848;323;132;;;
60-79;33.998;6.024;13.485;7.390;4.711;1.547;841;;;
80-99;26.310;2.645;8.945;6.237;5.423;1.858;1.202;;;
100-119;14.563;938;4.363;3.375;3.599;1.323;965;;;
120-139;11.500;495;2.969;2.643;3.536;1.139;718;;;
140-159;5.549;227;1.335;1.323;1.542;618;504;;;
160-179;2.339;82;519;493;688;334;223;;;
180-199;1.387;47;298;267;477;207;91;;;
mehr als 200;2.146;67;379;402;635;350;313;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
